country,dataDate,confirmed
Afghanistan,2020-06-20,28428
Afghanistan,2020-06-21,28837
Afghanistan,2020-06-22,29147
Afghanistan,2020-06-23,29471
Afghanistan,2020-06-24,29705
Afghanistan,2020-06-25,30165
Afghanistan,2020-06-26,30441
Afghanistan,2020-06-27,30606
Afghanistan,2020-06-28,30957
Afghanistan,2020-06-29,31228
Afghanistan,2020-06-30,31507
Afghanistan,2020-07-01,31826
Afghanistan,2020-07-02,32012
Afghanistan,2020-07-03,32314
Afghanistan,2020-07-04,32662
Afghanistan,2020-07-05,32941
Afghanistan,2020-07-06,33180
Afghanistan,2020-07-07,33374
Afghanistan,2020-07-08,33584
Afghanistan,2020-07-09,33898
Afghanistan,2020-07-10,34184
Afghanistan,2020-07-11,34356
Afghanistan,2020-07-12,34441
Afghanistan,2020-07-13,34595
Afghanistan,2020-07-14,34730
Afghanistan,2020-07-15,34984
Afghanistan,2020-07-16,35060
Afghanistan,2020-07-17,35219
Afghanistan,2020-07-18,35279
Afghanistan,2020-07-19,35453
Afghanistan,2020-07-20,35493
Afghanistan,2020-07-21,35605
Afghanistan,2020-07-22,35717
Afghanistan,2020-07-23,35918
Afghanistan,2020-07-24,35978
Afghanistan,2020-07-25,36026
Afghanistan,2020-07-26,36147
Afghanistan,2020-07-27,36253
Afghanistan,2020-07-28,36358
Afghanistan,2020-07-29,36463
Afghanistan,2020-07-30,36532
Afghanistan,2020-07-31,36665
Afghanistan,2020-08-01,36700
Afghanistan,2020-08-02,36701
Afghanistan,2020-08-03,36737
Afghanistan,2020-08-04,36773
Afghanistan,2020-08-05,36820
Afghanistan,2020-08-06,36928
Afghanistan,2020-08-07,37006
Afghanistan,2020-08-08,37046
Afghanistan,2020-08-09,37083
Afghanistan,2020-08-10,37153
Afghanistan,2020-08-11,37260
Afghanistan,2020-08-12,37336
Afghanistan,2020-08-13,37422
Afghanistan,2020-08-14,37497
Afghanistan,2020-08-15,37542
Afghanistan,2020-08-16,37590
Afghanistan,2020-08-17,37667
Afghanistan,2020-08-18,37710
Afghanistan,2020-08-19,37750
Afghanistan,2020-08-20,37852
Afghanistan,2020-08-21,37885
Afghanistan,2020-08-22,37944
Afghanistan,2020-08-23,37990
Afghanistan,2020-08-24,38045
Afghanistan,2020-08-25,38061
Afghanistan,2020-08-26,38103
Afghanistan,2020-08-27,38119
Afghanistan,2020-08-28,38130
Afghanistan,2020-08-29,38133
Afghanistan,2020-08-30,38155
Afghanistan,2020-08-31,38159
Afghanistan,2020-09-01,38193
Afghanistan,2020-09-02,38243
Afghanistan,2020-09-03,38288
Afghanistan,2020-09-04,38304
Afghanistan,2020-09-05,38324
Afghanistan,2020-09-06,38398
Afghanistan,2020-09-07,38494
Afghanistan,2020-09-08,38520
Afghanistan,2020-09-09,38544
Afghanistan,2020-09-10,38572
Afghanistan,2020-09-11,38606
Afghanistan,2020-09-12,38641
Afghanistan,2020-09-13,38716
Afghanistan,2020-09-14,38772
Afghanistan,2020-09-15,38815
Afghanistan,2020-09-16,38855
Afghanistan,2020-09-17,38872
Afghanistan,2020-09-18,38897
Afghanistan,2020-09-19,38919
Afghanistan,2020-09-20,39044
Afghanistan,2020-09-21,39074
Afghanistan,2020-09-22,39096
Afghanistan,2020-09-23,39145
Afghanistan,2020-09-24,39170
Afghanistan,2020-09-25,39186
Afghanistan,2020-09-26,39192
Afghanistan,2020-09-27,39227
Afghanistan,2020-09-28,39239
Afghanistan,2020-09-29,39254
Afghanistan,2020-09-30,39268
Afghanistan,2020-10-01,39285
Afghanistan,2020-10-02,39290
Afghanistan,2020-10-03,39297
Afghanistan,2020-10-04,39341
Afghanistan,2020-10-05,39422
Afghanistan,2020-10-06,39486
Afghanistan,2020-10-07,39548
Afghanistan,2020-10-08,39616
Afghanistan,2020-10-09,39693
Afghanistan,2020-10-10,39703
Afghanistan,2020-10-11,39799
Afghanistan,2020-10-12,39870
Afghanistan,2020-10-13,39928
Afghanistan,2020-10-14,39994
Afghanistan,2020-10-15,40026
Afghanistan,2020-10-16,40088
Afghanistan,2020-10-17,40141
Afghanistan,2020-10-18,40200
Afghanistan,2020-10-19,40287
Afghanistan,2020-10-20,40369
Afghanistan,2020-10-21,40510
Afghanistan,2020-10-22,40626
Afghanistan,2020-10-23,40687
Afghanistan,2020-10-24,40768
Afghanistan,2020-10-25,40833
Afghanistan,2020-10-26,40937
Afghanistan,2020-10-27,41032
Afghanistan,2020-10-28,41145
Afghanistan,2020-10-29,41268
Afghanistan,2020-10-30,41334
Afghanistan,2020-10-31,41425
Afghanistan,2020-11-01,41501
Afghanistan,2020-11-02,41633
Afghanistan,2020-11-03,41728
Afghanistan,2020-11-04,41814
Afghanistan,2020-11-05,41935
Afghanistan,2020-11-06,41975
Afghanistan,2020-11-07,42033
Afghanistan,2020-11-08,42159
Afghanistan,2020-11-09,42297
Afghanistan,2020-11-10,42463
Afghanistan,2020-11-11,42609
Afghanistan,2020-11-12,42795
Afghanistan,2020-11-13,42969
Afghanistan,2020-11-14,43035
Afghanistan,2020-11-15,43240
Afghanistan,2020-11-16,43468
Afghanistan,2020-11-17,43681
Afghanistan,2020-11-18,43924
Afghanistan,2020-11-19,44177
Afghanistan,2020-11-20,44363
Afghanistan,2020-11-21,44503
Afghanistan,2020-11-22,44706
Afghanistan,2020-11-23,44988
Afghanistan,2020-11-24,45174
Afghanistan,2020-11-25,45384
Afghanistan,2020-11-26,45600
Afghanistan,2020-11-27,45723
Afghanistan,2020-11-28,45844
Afghanistan,2020-11-29,46116
Afghanistan,2020-11-30,46274
Afghanistan,2020-12-01,46516
Afghanistan,2020-12-02,46718
Afghanistan,2020-12-03,46837
Afghanistan,2020-12-04,46837
Afghanistan,2020-12-05,47072
Afghanistan,2020-12-06,47306
Afghanistan,2020-12-07,47516
Afghanistan,2020-12-08,47716
Afghanistan,2020-12-09,47851
Afghanistan,2020-12-10,48053
Afghanistan,2020-12-11,48116
Afghanistan,2020-12-12,48229
Afghanistan,2020-12-13,48527
Afghanistan,2020-12-14,48718
Afghanistan,2020-12-15,48952
Afghanistan,2020-12-16,49161
Afghanistan,2020-12-17,49378
Afghanistan,2020-12-18,49621
Afghanistan,2020-12-19,49681
Afghanistan,2020-12-20,49817
Afghanistan,2020-12-21,50013
Afghanistan,2020-12-22,50190
Afghanistan,2020-12-23,50433
Afghanistan,2020-12-24,50655
Afghanistan,2020-12-25,50810
Afghanistan,2020-12-26,50886
Afghanistan,2020-12-27,51039
Afghanistan,2020-12-28,51280
Afghanistan,2020-12-29,51350
Afghanistan,2020-12-30,51405
Afghanistan,2020-12-31,51526
Afghanistan,2021-01-01,51526
Afghanistan,2021-01-02,51526
Afghanistan,2021-01-03,51526
Afghanistan,2021-01-04,53011
Afghanistan,2021-01-05,53105
Afghanistan,2021-01-06,53105
Afghanistan,2021-01-07,53207
Afghanistan,2021-01-08,53332
Afghanistan,2021-01-09,53400
Afghanistan,2021-01-10,53489
Afghanistan,2021-01-11,53538
Afghanistan,2021-01-12,53584
Afghanistan,2021-01-13,53584
Afghanistan,2021-01-14,53775
Afghanistan,2021-01-15,53831
Afghanistan,2021-01-16,53938
Afghanistan,2021-01-17,53984
Afghanistan,2021-01-18,54062
Afghanistan,2021-01-19,54141
Afghanistan,2021-01-20,54278
Afghanistan,2021-01-21,54403
Afghanistan,2021-01-22,54483
Afghanistan,2021-01-23,54559
Afghanistan,2021-01-24,54595
Afghanistan,2021-01-25,54672
Afghanistan,2021-01-26,54750
Afghanistan,2021-01-27,54854
Afghanistan,2021-01-28,54891
Afghanistan,2021-01-29,54939
Afghanistan,2021-01-30,55008
Afghanistan,2021-01-31,55023
Afghanistan,2021-02-01,55059
Afghanistan,2021-02-02,55121
Afghanistan,2021-02-03,55174
Afghanistan,2021-02-04,55231
Afghanistan,2021-02-05,55265
Afghanistan,2021-02-06,55330
Afghanistan,2021-02-07,55335
Afghanistan,2021-02-08,55359
Afghanistan,2021-02-09,55384
Afghanistan,2021-02-10,55402
Afghanistan,2021-02-11,55420
Afghanistan,2021-02-12,55445
Afghanistan,2021-02-13,55473
Afghanistan,2021-02-14,55492
Afghanistan,2021-02-15,55514
Afghanistan,2021-02-16,55518
Afghanistan,2021-02-17,55540
Afghanistan,2021-02-18,55557
Afghanistan,2021-02-19,55575
Afghanistan,2021-02-20,55580
Afghanistan,2021-02-21,55604
Afghanistan,2021-02-22,55617
Afghanistan,2021-02-23,55646
Afghanistan,2021-02-24,55664
Afghanistan,2021-02-25,55680
Afghanistan,2021-02-26,55696
Afghanistan,2021-02-27,55707
Afghanistan,2021-02-28,55714
Afghanistan,2021-03-01,55733
Afghanistan,2021-03-02,55759
Afghanistan,2021-03-03,55770
Afghanistan,2021-03-04,55775
Afghanistan,2021-03-05,55827
Afghanistan,2021-03-06,55840
Afghanistan,2021-03-07,55847
Afghanistan,2021-03-08,55876
Afghanistan,2021-03-09,55876
Afghanistan,2021-03-10,55894
Afghanistan,2021-03-11,55917
Afghanistan,2021-03-12,55959
Afghanistan,2021-03-13,55959
Afghanistan,2021-03-14,55985
Afghanistan,2021-03-15,55985
Afghanistan,2021-03-16,55995
Afghanistan,2021-03-17,56016
Afghanistan,2021-03-18,56044
Afghanistan,2021-03-19,56069
Afghanistan,2021-03-20,56093
Afghanistan,2021-03-21,56103
Afghanistan,2021-03-22,56153
Afghanistan,2021-03-23,56177
Afghanistan,2021-03-24,56192
Afghanistan,2021-03-25,56226
Afghanistan,2021-03-26,56254
Afghanistan,2021-03-27,56290
Afghanistan,2021-03-28,56294
Afghanistan,2021-03-29,56322
Afghanistan,2021-03-30,56384
Afghanistan,2021-03-31,56454
Afghanistan,2021-04-01,56517
Afghanistan,2021-04-02,56572
Afghanistan,2021-04-03,56595
Afghanistan,2021-04-04,56676
Afghanistan,2021-04-05,56717
Afghanistan,2021-04-06,56779
Afghanistan,2021-04-07,56873
Afghanistan,2021-04-08,56943
Afghanistan,2021-04-09,57019
Afghanistan,2021-04-10,57144
Afghanistan,2021-04-11,57160
Afghanistan,2021-04-12,57242
Albania,2020-01-22,0
Albania,2020-01-23,0
Albania,2020-01-24,0
Albania,2020-01-25,0
Albania,2020-01-26,0
Albania,2020-01-27,0
Albania,2020-01-28,0
Albania,2020-01-29,0
Albania,2020-01-30,0
Albania,2020-01-31,0
Albania,2020-02-01,0
Albania,2020-02-02,0
Albania,2020-02-03,0
Albania,2020-02-04,0
Albania,2020-02-05,0
Albania,2020-02-06,0
Albania,2020-02-07,0
Albania,2020-02-08,0
Albania,2020-02-09,0
Albania,2020-02-10,0
Albania,2020-02-11,0
Albania,2020-02-12,0
Albania,2020-02-13,0
Albania,2020-02-14,0
Albania,2020-02-15,0
Albania,2020-02-16,0
Albania,2020-02-17,0
Albania,2020-02-18,0
Albania,2020-02-19,0
Albania,2020-02-20,0
Albania,2020-02-21,0
Albania,2020-02-22,0
Albania,2020-02-23,0
Albania,2020-02-24,0
Albania,2020-02-25,0
Albania,2020-02-26,0
Albania,2020-02-27,0
Albania,2020-02-28,0
Albania,2020-02-29,0
Albania,2020-03-01,0
Albania,2020-03-02,0
Albania,2020-03-03,0
Albania,2020-03-04,0
Albania,2020-03-05,0
Albania,2020-03-06,0
Albania,2020-03-07,0
Albania,2020-03-08,0
Albania,2020-03-09,2
Albania,2020-03-10,10
Albania,2020-03-11,12
Albania,2020-03-12,23
Albania,2020-03-13,33
Albania,2020-03-14,38
Albania,2020-03-15,42
Albania,2020-03-16,51
Albania,2020-03-17,55
Albania,2020-03-18,59
Albania,2020-03-19,64
Albania,2020-03-20,70
Albania,2020-03-21,76
Albania,2020-03-22,89
Albania,2020-03-23,104
Albania,2020-03-24,123
Albania,2020-03-25,146
Albania,2020-03-26,174
Albania,2020-03-27,186
Albania,2020-03-28,197
Albania,2020-03-29,212
Albania,2020-03-30,223
Albania,2020-03-31,243
Albania,2020-04-01,259
Albania,2020-04-02,277
Albania,2020-04-03,304
Albania,2020-04-04,333
Albania,2020-04-05,361
Albania,2020-04-06,377
Albania,2020-04-07,383
Albania,2020-04-08,400
Albania,2020-04-09,409
Albania,2020-04-10,416
Albania,2020-04-11,433
Albania,2020-04-12,446
Albania,2020-04-13,467
Albania,2020-04-14,475
Albania,2020-04-15,494
Albania,2020-04-16,518
Albania,2020-04-17,539
Albania,2020-04-18,548
Albania,2020-04-19,562
Albania,2020-04-20,584
Albania,2020-04-21,609
Albania,2020-04-22,634
Albania,2020-04-23,663
Albania,2020-04-24,678
Albania,2020-04-25,712
Albania,2020-04-26,726
Albania,2020-04-27,736
Albania,2020-04-28,750
Albania,2020-04-29,766
Albania,2020-04-30,773
Albania,2020-05-01,782
Albania,2020-05-02,789
Albania,2020-05-03,795
Albania,2020-05-04,803
Albania,2020-05-05,820
Albania,2020-05-06,832
Albania,2020-05-07,842
Albania,2020-05-08,850
Albania,2020-05-09,856
Albania,2020-05-10,868
Albania,2020-05-11,872
Albania,2020-05-12,876
Albania,2020-05-13,880
Albania,2020-05-14,898
Albania,2020-05-15,916
Albania,2020-05-16,933
Albania,2020-05-17,946
Albania,2020-05-18,948
Albania,2020-05-19,949
Albania,2020-05-20,964
Albania,2020-05-21,969
Albania,2020-05-22,981
Albania,2020-05-23,989
Albania,2020-05-24,998
Albania,2020-05-25,1004
Albania,2020-05-26,1029
Albania,2020-05-27,1050
Albania,2020-05-28,1076
Albania,2020-05-29,1099
Albania,2020-05-30,1122
Albania,2020-05-31,1137
Albania,2020-06-01,1143
Albania,2020-06-02,1164
Albania,2020-06-03,1184
Albania,2020-06-04,1197
Albania,2020-06-05,1212
Albania,2020-06-06,1232
Albania,2020-06-07,1246
Albania,2020-06-08,1263
Albania,2020-06-09,1299
Albania,2020-06-10,1341
Albania,2020-06-11,1385
Albania,2020-06-12,1416
Albania,2020-06-13,1464
Albania,2020-06-14,1521
Albania,2020-06-15,1590
Albania,2020-06-16,1672
Albania,2020-06-17,1722
Albania,2020-06-18,1788
Albania,2020-06-19,1838
Albania,2020-06-20,1891
Albania,2020-06-21,1962
Albania,2020-06-22,1995
Albania,2020-06-23,2047
Albania,2020-06-24,2114
Albania,2020-06-25,2192
Albania,2020-06-26,2269
Albania,2020-06-27,2330
Albania,2020-06-28,2402
Albania,2020-06-29,2466
Albania,2020-06-30,2535
Albania,2020-07-01,2580
Albania,2020-07-02,2662
Albania,2020-07-03,2752
Albania,2020-07-04,2819
Albania,2020-07-05,2893
Albania,2020-07-06,2964
Albania,2020-07-07,3038
Albania,2020-07-08,3106
Albania,2020-07-09,3188
Albania,2020-07-10,3278
Albania,2020-07-11,3371
Albania,2020-07-12,3454
Albania,2020-07-13,3571
Albania,2020-07-14,3667
Albania,2020-07-15,3752
Albania,2020-07-16,3851
Albania,2020-07-17,3906
Albania,2020-07-18,4008
Albania,2020-07-19,4090
Albania,2020-07-20,4171
Albania,2020-07-21,4290
Albania,2020-07-22,4358
Albania,2020-07-23,4466
Albania,2020-07-24,4570
Albania,2020-07-25,4637
Albania,2020-07-26,4763
Albania,2020-07-27,4880
Albania,2020-07-28,4997
Albania,2020-07-29,5105
Albania,2020-07-30,5197
Albania,2020-07-31,5276
Albania,2020-08-01,5396
Albania,2020-08-02,5519
Albania,2020-08-03,5620
Albania,2020-08-04,5750
Albania,2020-08-05,5889
Albania,2020-08-06,6016
Albania,2020-08-07,6151
Albania,2020-08-08,6275
Albania,2020-08-09,6411
Albania,2020-08-10,6536
Albania,2020-08-11,6676
Albania,2020-08-12,6817
Albania,2020-08-13,6971
Albania,2020-08-14,7117
Albania,2020-08-15,7260
Albania,2020-08-16,7380
Albania,2020-08-17,7499
Albania,2020-08-18,7654
Albania,2020-08-19,7812
Albania,2020-08-20,7967
Albania,2020-08-21,8119
Albania,2020-08-22,8275
Albania,2020-08-23,8427
Albania,2020-08-24,8605
Albania,2020-08-25,8759
Albania,2020-08-26,8927
Albania,2020-08-27,9083
Albania,2020-08-28,9195
Albania,2020-08-29,9279
Albania,2020-08-30,9380
Albania,2020-08-31,9513
Albania,2020-09-01,9606
Albania,2020-09-02,9728
Albania,2020-09-03,9844
Albania,2020-09-04,9967
Albania,2020-09-05,10102
Albania,2020-09-06,10255
Albania,2020-09-07,10406
Albania,2020-09-08,10553
Albania,2020-09-09,10704
Albania,2020-09-10,10860
Albania,2020-09-11,11021
Albania,2020-09-12,11185
Albania,2020-09-13,11353
Albania,2020-09-14,11520
Albania,2020-09-15,11672
Albania,2020-09-16,11816
Albania,2020-09-17,11948
Albania,2020-09-18,12073
Albania,2020-09-19,12226
Albania,2020-09-20,12385
Albania,2020-09-21,12535
Albania,2020-09-22,12666
Albania,2020-09-23,12787
Albania,2020-09-24,12921
Albania,2020-09-25,13045
Albania,2020-09-26,13153
Albania,2020-09-27,13259
Albania,2020-09-28,13391
Albania,2020-09-29,13518
Albania,2020-09-30,13649
Albania,2020-10-01,13806
Albania,2020-10-02,13965
Albania,2020-10-03,14117
Albania,2020-10-04,14266
Albania,2020-10-05,14410
Albania,2020-10-06,14568
Albania,2020-10-07,14730
Albania,2020-10-08,14899
Albania,2020-10-09,15066
Albania,2020-10-10,15231
Albania,2020-10-11,15399
Albania,2020-10-12,15570
Albania,2020-10-13,15752
Albania,2020-10-14,15955
Albania,2020-10-15,16212
Albania,2020-10-16,16501
Albania,2020-10-17,16774
Albania,2020-10-18,17055
Albania,2020-10-19,17350
Albania,2020-10-20,17651
Albania,2020-10-21,17948
Albania,2020-10-22,18250
Albania,2020-10-23,18556
Albania,2020-10-24,18858
Albania,2020-10-25,19157
Albania,2020-10-26,19445
Albania,2020-10-27,19729
Albania,2020-10-28,20040
Albania,2020-10-29,20315
Albania,2020-10-30,20634
Albania,2020-10-31,20875
Albania,2020-11-01,21202
Albania,2020-11-02,21523
Albania,2020-11-03,21904
Albania,2020-11-04,22300
Albania,2020-11-05,22721
Albania,2020-11-06,23210
Albania,2020-11-07,23705
Albania,2020-11-08,24206
Albania,2020-11-09,24731
Albania,2020-11-10,25294
Albania,2020-11-11,25801
Albania,2020-11-12,26211
Albania,2020-11-13,26701
Albania,2020-11-14,27233
Albania,2020-11-15,27830
Albania,2020-11-16,28432
Albania,2020-11-17,29126
Albania,2020-11-18,29837
Albania,2020-11-19,30623
Albania,2020-11-20,31459
Albania,2020-11-21,32196
Albania,2020-11-22,32761
Albania,2020-11-23,33556
Albania,2020-11-24,34300
Albania,2020-11-25,34944
Albania,2020-11-26,35600
Albania,2020-11-27,36245
Albania,2020-11-28,36790
Albania,2020-11-29,37625
Albania,2020-11-30,38182
Albania,2020-12-01,39014
Albania,2020-12-02,39719
Albania,2020-12-03,40501
Albania,2020-12-04,41302
Albania,2020-12-05,42148
Albania,2020-12-06,42988
Albania,2020-12-07,43683
Albania,2020-12-08,44436
Albania,2020-12-09,45188
Albania,2020-12-10,46061
Albania,2020-12-11,46863
Albania,2020-12-12,47742
Albania,2020-12-13,48530
Albania,2020-12-14,49191
Albania,2020-12-15,50000
Albania,2020-12-16,50637
Albania,2020-12-17,51424
Albania,2020-12-18,52004
Albania,2020-12-19,52542
Albania,2020-12-20,53003
Albania,2020-12-21,53425
Albania,2020-12-22,53814
Albania,2020-12-23,54317
Albania,2020-12-24,54827
Albania,2020-12-25,55380
Albania,2020-12-26,55755
Albania,2020-12-27,56254
Albania,2020-12-28,56572
Albania,2020-12-29,57146
Albania,2020-12-30,57727
Albania,2020-12-31,58316
Albania,2021-01-01,58316
Albania,2021-01-02,58991
Albania,2021-01-03,59438
Albania,2021-01-04,59623
Albania,2021-01-05,60283
Albania,2021-01-06,61008
Albania,2021-01-07,61705
Albania,2021-01-08,62378
Albania,2021-01-09,63033
Albania,2021-01-10,63595
Albania,2021-01-11,63971
Albania,2021-01-12,64627
Albania,2021-01-13,65334
Albania,2021-01-14,65994
Albania,2021-01-15,66635
Albania,2021-01-16,67216
Albania,2021-01-17,67690
Albania,2021-01-18,67982
Albania,2021-01-19,68568
Albania,2021-01-20,69238
Albania,2021-01-21,69916
Albania,2021-01-22,70655
Albania,2021-01-23,71441
Albania,2021-01-24,72274
Albania,2021-01-25,72812
Albania,2021-01-26,73691
Albania,2021-01-27,74567
Albania,2021-01-28,75454
Albania,2021-01-29,76350
Albania,2021-01-30,77251
Albania,2021-01-31,78127
Albania,2021-02-01,78992
Albania,2021-02-02,79934
Albania,2021-02-03,80941
Albania,2021-02-04,81993
Albania,2021-02-05,83082
Albania,2021-02-06,84212
Albania,2021-02-07,85336
Albania,2021-02-08,86289
Albania,2021-02-09,87528
Albania,2021-02-10,88671
Albania,2021-02-11,89776
Albania,2021-02-12,90835
Albania,2021-02-13,91987
Albania,2021-02-14,93075
Albania,2021-02-15,93850
Albania,2021-02-16,94651
Albania,2021-02-17,95726
Albania,2021-02-18,96838
Albania,2021-02-19,97909
Albania,2021-02-20,99062
Albania,2021-02-21,100246
Albania,2021-02-22,101285
Albania,2021-02-23,102306
Albania,2021-02-24,103327
Albania,2021-02-25,104313
Albania,2021-02-26,105229
Albania,2021-02-27,106215
Albania,2021-02-28,107167
Albania,2021-03-01,107931
Albania,2021-03-02,108823
Albania,2021-03-03,109674
Albania,2021-03-04,110521
Albania,2021-03-05,111301
Albania,2021-03-06,112078
Albania,2021-03-07,112897
Albania,2021-03-08,113580
Albania,2021-03-09,114209
Albania,2021-03-10,114840
Albania,2021-03-11,115442
Albania,2021-03-12,116123
Albania,2021-03-13,116821
Albania,2021-03-14,117474
Albania,2021-03-15,118017
Albania,2021-03-16,118492
Albania,2021-03-17,118938
Albania,2021-03-18,119528
Albania,2021-03-19,120022
Albania,2021-03-20,120541
Albania,2021-03-21,121200
Albania,2021-03-22,121544
Albania,2021-03-23,121847
Albania,2021-03-24,122295
Albania,2021-03-25,122767
Albania,2021-03-26,123216
Albania,2021-03-27,123641
Albania,2021-03-28,124134
Albania,2021-03-29,124419
Albania,2021-03-30,124723
Albania,2021-03-31,125157
Albania,2021-04-01,125506
Albania,2021-04-02,125842
Albania,2021-04-03,126183
Albania,2021-04-04,126531
Albania,2021-04-05,126795
Albania,2021-04-06,126936
Albania,2021-04-07,127192
Albania,2021-04-08,127509
Albania,2021-04-09,127795
Albania,2021-04-10,128155
Albania,2021-04-11,128393
Albania,2021-04-12,128518
Algeria,2020-01-22,0
Algeria,2020-01-23,0
Algeria,2020-01-24,0
Algeria,2020-01-25,0
Algeria,2020-01-26,0
Algeria,2020-01-27,0
Algeria,2020-01-28,0
Algeria,2020-01-29,0
Algeria,2020-01-30,0
Algeria,2020-01-31,0
Algeria,2020-02-01,0
Algeria,2020-02-02,0
Algeria,2020-02-03,0
Algeria,2020-02-04,0
Algeria,2020-02-05,0
Algeria,2020-02-06,0
Algeria,2020-02-07,0
Algeria,2020-02-08,0
Algeria,2020-02-09,0
Algeria,2020-02-10,0
Algeria,2020-02-11,0
Algeria,2020-02-12,0
Algeria,2020-02-13,0
